Symbol,Date,Open,High,Low,Close,Volume
GOOG,3/24/2023,105.739998,106.160004,104.739998,106.059998,25236200
GOOG,1/9/2024,140.059998,142.800003,139.789993,142.559998,19579700
LULU,9/7/2023,397.519989,400.839996,396.01001,398.98999,830300
LULU,8/10/2023,385.880005,394.640015,383.369995,384.549988,937600
BTC-USD,6/21/2023,28311.31055,30737.33008,28283.41016,30027.29688,33346760979
GOOGL,7/6/2023,119.800003,120.300003,118.400002,120.110001,24745200
TSLA,8/9/2023,250.869995,251.100006,241.899994,242.190002,101596300
GOOGL,1/25/2024,150.070007,153.050003,149.539993,151.869995,29149100
LULU,7/17/2023,379.070007,385.350006,378.399994,383.690002,809400
LULU,7/7/2023,366,367.899994,363.26001,363.73999,934100
GOOGL,6/5/2023,124.010002,127.43,123.839996,126.010002,32305500
BTC-USD,7/16/2023,30297.47266,30437.56055,30089.66992,30249.13281,8516564470
BTC-USD,4/16/2023,30315.97656,30555.53711,30157.83203,30315.35547,12854816417
GOOG,6/28/2023,117.959999,121.269997,117.599998,121.080002,19753100
GOOG,12/22/2023,142.130005,143.25,142.054993,142.720001,18494700
BTC-USD,2/3/2024,43184.96484,43359.94141,42890.80859,42992.25,11169245236
TSLA,5/18/2023,174.220001,177.059998,172.449997,176.889999,109520300
BTC-USD,5/2/2023,28087.17578,28881.29883,27924.12305,28680.53711,16432924527
TSLA,11/14/2023,235.029999,238.139999,230.720001,237.410004,149771600
LULU,8/18/2023,372.589996,382.649994,371.450012,381.290009,945500
GOOG,8/18/2023,129.059998,129.830002,127,128.110001,23619400
GOOGL,10/11/2023,138.580002,141.110001,138.580002,140.550003,25884300
LULU,11/17/2023,425.220001,425.670013,421.040009,422.440002,1219800
GOOG,3/4/2024,136.539993,136.630005,132.860001,134.199997,43571500
GOOGL,11/28/2023,136.080002,137.25,135.419998,137.199997,18730000
GOOGL,3/11/2024,136.130005,139.100006,136.130005,137.669998,32437800
GOOGL,7/19/2023,124.599998,125.18,121.800003,122.029999,37224000
BTC-USD,4/9/2023,27952.36719,28532.83008,27828.48047,28333.05078,12175322951
TSLA,3/30/2023,195.580002,197.330002,194.419998,195.279999,110252200
BTC-USD,8/15/2023,29408.04883,29439.12109,29088.85352,29170.34766,12640195779
LULU,3/5/2024,448.809998,448.809998,443.609985,446.059998,975500
LULU,5/8/2023,387.98999,388.98999,380.920013,381.859985,1130900
TSLA,12/18/2023,253.779999,258.73999,251.360001,252.080002,116416500
GOOG,12/26/2023,142.979996,143.945007,142.5,142.820007,11170100
BTC-USD,6/20/2023,26841.66406,28388.96875,26668.79102,28327.48828,22211859147
BTC-USD,12/27/2023,42518.46875,43683.16016,42167.58203,43442.85547,25260941032
GOOGL,5/19/2023,123.550003,125.970001,122.150002,122.760002,41330300
GOOGL,2/7/2024,144.759995,145.619995,143.929993,145.539993,25208900
GOOGL,8/21/2023,127.18,128.729996,126.559998,128.369995,25248700
GOOG,11/16/2023,136.960007,138.880005,136.080002,138.699997,17615100
BTC-USD,3/11/2024,69020.54688,72850.71094,67194.88281,72123.90625,65716656765
GOOG,5/19/2023,124.199997,126.478996,122.720001,123.25,30251300
BTC-USD,6/10/2023,26481.76172,26531.04492,25501.83594,25851.24023,19872933189
BTC-USD,7/14/2023,31474.7207,31582.25391,29966.38672,30334.06836,20917902660
GOOGL,7/21/2023,120.620003,120.989998,118.730003,120.019997,72937900
GOOG,1/11/2024,144.895004,146.660004,142.214996,143.669998,17471100
BTC-USD,3/25/2023,27487.33789,27791.82617,27196.23438,27494.70703,13383005987
BTC-USD,7/25/2023,29178.9707,29353.16016,29062.43359,29227.39063,10266772793
LULU,2/27/2024,471.089996,471.5,463.950012,467.839996,919500
BTC-USD,6/7/2023,27235.65039,27332.18164,26146.98828,26345.99805,19530045082
TSLA,6/21/2023,275.130005,276.98999,257.779999,259.459991,211797100
GOOGL,9/28/2023,129.839996,133.300003,129.789993,132.309998,22513100
GOOG,9/7/2023,134.600006,136.580002,133.960007,136.199997,16976000
TSLA,12/20/2023,256.410004,259.839996,247,247.139999,125097000
GOOG,2/8/2024,146.970001,147.610001,146.419998,147.220001,18241300
LULU,2/13/2024,457.559998,461.950012,454,456.230011,1264100
LULU,12/19/2023,503.579987,509.329987,502.829987,506.859985,1174800
LULU,5/25/2023,343.089996,346.529999,340.950012,342.339996,1415000
BTC-USD,8/10/2023,29563.97266,29688.56445,29354.44727,29429.5918,11865344789
GOOG,11/14/2023,135.649994,137.240005,135.100006,135.429993,22317300
BTC-USD,8/2/2023,29704.14648,29987.99805,28946.50977,29151.95898,19212655598
BTC-USD,11/24/2023,37296.31641,38415.33984,37261.60547,37720.28125,22922957823
BTC-USD,4/15/2023,30490.75,30601.74023,30245.88281,30318.49609,11940685378
BTC-USD,8/21/2023,26188.69141,26220.20117,25846.08789,26124.14063,13371557893
BTC-USD,1/12/2024,46354.79297,46498.13672,41903.76953,42853.16797,43332698900
BTC-USD,3/8/2024,66938.09375,70083.05469,66230.45313,68300.09375,59202881172
TSLA,4/28/2023,160.899994,165,157.320007,164.309998,122515800
BTC-USD,10/15/2023,26858.01172,27289.16992,26817.89453,27159.65234,7098201980
GOOG,9/6/2023,137.014999,137.479996,134.690002,135.369995,15814300
GOOGL,6/13/2023,124.980003,125.160004,123.18,123.830002,22278300
TSLA,3/24/2023,191.649994,192.360001,187.149994,190.410004,116312400
GOOGL,1/2/2024,138.550003,139.449997,136.479996,138.169998,23711200
BTC-USD,8/28/2023,26089.61523,26198.57813,25880.59961,26106.15039,11002805166
BTC-USD,3/1/2024,61168.0625,63155.10156,60802.52734,62440.63281,40186368423
LULU,9/22/2023,387.5,391.709991,386.380005,388.049988,1102600
GOOGL,8/14/2023,129.389999,131.369995,128.960007,131.330002,24695600
GOOGL,8/31/2023,136.009995,138,135.789993,136.169998,30053800
BTC-USD,2/23/2024,51283.90625,51497.93359,50561.77734,50731.94922,21427078270
